"","usaf","wban","name","country","state","lat","lon","elev","begin","end","gmt_offset","time_zone_id","country_name","country_code","iso3166_2_subd","fips10_4_subd"
"112",161810,99999,"PERUGIA","IT","",43.096,12.513,211.2,1967,2015,1,"Europe/Rome","Italy","IT","55","18"
"113",161820,99999,"PERUGIA S. EGIDIO","IT","",43.1,12.5,205,2005,2012,1,"Europe/Rome","Italy","IT","55","18"
"114",161900,99999,"ANCONA","IT","",43.617,13.533,142,1949,2012,1,"Europe/Rome","Italy","IT","57","10"
"115",161910,99999,"FALCONARA","IT","",43.616,13.362,14.9,1945,2015,1,"Europe/Rome","Italy","IT","57","10"
"116",161915,99999,"JESI","IT","",43.517,13.233,-999,1973,1974,1,"Europe/Rome","Italy","IT","57","10"
"117",161920,99999,"LORETO","IT","",43.433,13.583,197,2005,2009,1,"Europe/Rome","Italy","IT","57","10"
"118",161970,99999,"MONTE CALAMITA","IT","",42.733,10.4,397,1973,2015,1,"Europe/Rome","Italy","IT","52","16"
"119",161980,99999,"ISOLA D'ELBA","IT","",42.733,10.4,397,2005,2009,1,"Europe/Rome","Italy","IT","52","16"
"120",162000,99999,"PIANOSA ISLAND","IT","",42.583,10.1,15,1965,1979,1,"Europe/Rome","Italy","IT","52","16"
"121",162040,99999,"RADICOFANI","IT","",42.9,11.767,918,1973,2015,1,"Europe/Rome","Italy","IT","52","16"
"122",162060,99999,"GROSSETO","IT","",42.76,11.072,4.6,1944,2015,1,"Europe/Rome","Italy","IT","52","16"
"123",162120,99999,"S. TERESA","IT","",44.417,14.167,5,2007,2007,1,"Europe/Zagreb","Croatia","HR",NA,NA
"124",162140,99999,"CIVITAVECCHIA","IT","",42.017,11.817,4,1945,2015,1,"Europe/Rome","Italy","IT",NA,NA
"125",162150,99999,"CIVITAVECCHIA","IT","",42.02,11.82,4,2005,2015,1,"Europe/Rome","Italy","IT",NA,NA
"126",162160,99999,"VITERBO","IT","",42.43,12.064,301.8,1944,2015,1,"Europe/Rome","Italy","IT","62","07"
